S No,Project,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Latitiude N,,Longitude E,,VDC/District,C O D
32,Kule Khani Third,14,Kulekhani,24,2064-12-17,2099-12-16,Nepal Electricity Authority,"Durbarmarg, Kathmandu, Fax : 014153009, Phone : 01-4153007, 4153012","27o 27' 30""","27o 31' 00""","85o 01' 30""","85o 03' 30""",Bhaise (Makawanpur),2076-07-01
33,Hewa khola,4.455,Hewa (Sankhuwasabha),25,2065-01-22,2100-01-21,Barun Hydropower Development Co. Pvt. Ltd,,"27o 18' 54""","27o 19' 33""","87o 19' 00""","87o 20' 44""","Jaljala,Siddhapokhari (Sankhuwasabha)",2067-04-17
34,Lower Chaku Khola,1.8,Chaku,26,2065-05-09,2100-05-08,Laughing Buddha Power Nepal Pvt. Ltd,,"27o 52' 33""","27o 53' 46""","85o 54' 43""","85o 55' 29""",(Sindhupalchok),2070-04-24
35,Sipring Khola,10,Sipring,27,2066-01-30,2101-01-29,Synergy Power Development P Ltd,"P.O.Box 24600, Kathmandu, Phone 01-4440433","27o 48' 38""","27o 49' 39""","86o 13' 47""","86o 15' 18""","Khare,Gauri Sankar (Dolakha)",2069-10-03
36,Lower Modi -1,10,Modi Khola,29,2066-05-02,2101-05-02,"United Modi Hydropower Pvt. Ltd., 1st Floor Heritage Plaza 2; Kamaladi, Kathmandu Metropolitan - 31",Phone 014169114; Fax : 014169113; email : unitedmodi@ntc.net.np,"28o 13' 15""","28o 14' 07""","83o 42' 05""","83o 43' 00""",(Parbat),2069-08-09
37,Bhairab Kund Khola,3,Bhairab Kund,30,2066-05-19,2101-05-18,Bright Power Co. Pvt. Ltd.,"Naxal, KMC-1, 9851139921, brightpowerltd22@gmail.com","27o 55' 52""","27o 56' 14""","85o 55' 53""","85o 56' 28""",Tatopani (Sindhupalchok),2071-02-22
38,Siuri Khola,5,Siuri,31,2066-05-30,2101-05-29,Nyadi Group Pvt Ltd,"PO Box 14165, Kathmandu, Ph: 6219566","28o 20' 24""","28o 21' 00""","84o 27' 41""","84o 29' 23""",(Lamjung),2069-06-30
39,Ankhu Khola - 1,7,Ankhu Khola,32,2066-08-26,2101-08-25,Ankhu Khola Jalvidut Co. Ltd,"Kathmandu-32, Anamnagar, Phone 01-4286228,4102595, 9841545350, 9851072170","28o 00' 00""","28o 01' 30""","84o 54' 00""","84o 55' 55""",(Dhading),2070-05-08
40,Baramchi Khola HPP,4.2,Baramchi,33,2066-10-26,2101-10-25,Unique Hydel Pvt Ltd,"Thulo Bharyang, Kathmandu Phone 01-4672598,4672599","27o 50' 11""","27o 51' 30""","85o 46' 38""","85o 48' 15""","Baramchi,Hagam (Sindhupalchok)",2071-12-30
41,Bijayapur-1,4.5,Bijayapur,34,2066-12-22,2101-12-21,Bhagawati Hydropower Development Company,,"28o 10' 37""","28o 11' 26""","84o 01' 31""","84o 02' 26""",(Kaski),2069-05-05
42,Upper Madi,25,Madi Khola,35,2067-01-27,2102-01-26,"Madi Power Pvt Ltd.,","GPO Box 2581, Gorakha Complex Minbhawan, Phone 01-4106507, 4106729, 4106731, Fax 01-4106640","28o 15' 37""","28o 17' 56""","84o 04' 00""","84o 06' 30""","Namarjung,Thumakodada,Sildujure (Kaski)",2073-09-25
43,Upper Mai Hydropower Project (Panchakanya Mai Hydropwer limi,12,Mai Khola,36,2067-04-23,2102-04-22,Mai Valley Hydropower P Ltd.,"Lalitpur - 3, Bakhundol , Pulchowk, Lalitpur, POB 24194, Ph 015010631,5010632","27o 01' 22""","27o 03' 30""","87o 56' 30""","87o 58' 00""","Mabu,Maimajhuwa (Ilam)",2073-03-09
44,Mai,22,Mai Khola,37,2067-05-13,2102-05-12,Sanima Mai Hydropower Limited,"GPO 19737, Ph: 44445952, 444642 Fax:4425953","26o 47' 21""","26o 50' 00""","87o 52' 00""","87o 55' 00""",(Ilam),2071-10-14
45,Lower Modi Khola,20,Modi Khola,38,2067-05-21,2102-05-20,Modi Energy Pvt . Ltd,"Naxal Sanogaucharan, Tel: 4441131, Fax: 4441973","28o 14' 08""","28o 16' 18""","83o 42' 30""","83o 44' 43""",",Durlung,Deurali,Ramja,Tilahar (Parbat)",2078-06-14
46,Phawa khola Hydropower Project,5,Phawa Khola,39,2067-06-19,2102-06-18,Shiwani Hydropower Company,"Baneshwor, Kathamandu - 10, Ph. 4466405, Fax: 4460137","27o 16' 37""","27o 19' 03""","87o 45' 27""","87o 46' 22""","Dummrise,Chaksibote,Thechambu (Taplejung)",0000-00-00
47,Charnawati Khola Hydroelectric Project,3.52,Charnawati,40,2067-08-17,2102-08-16,Nepal Hydro Developer Pvt Ltd,"Baneswar-10, Kathmandu, Tel; 4441131, Fax: 014441973,POB: 26435","27o 37' 50""","27o 39' 20""","86o 00' 58""","86o 02' 23""",Mati (Dolakha),2070-02-24
48,Upper Tamakoshi HPP,456,Tama Koshi,41,2067-08-17,2103-08-16,Upper Tamakoshi Hydropower Limited,"Kathmandu,GPO Box: 26070 , Tel: 4420295, Fax: 4412569","27o 49' 00""","27o 56' 40""","86o 10' 00""","86o 16' 00""","Bulung,Gauri Sankar,Khare,Lamabagar,Sunakhani,Sundrawati (Dolakha)",2078-05-04
49,Upper Trishuli 3A,60,Trishuli,43,2067-11-15,2102-11-14,Nepal Electricity Authority,"Durbar Marg , Kathmandu","28o 01' 21""","28o 04' 14""","85o 11' 16""","85o 12' 38""","Dandagoun,Laharepouwa,Thulogoun,Ramche (Rasuwa)",2076-05-13
50,Jiri Khola SHP,2.4,Jiri Khola,42,2067-11-17,2102-11-16,Bojini Company (P.) Ltd,"Buddhanagar, Kathmandu. G.P.O Box: 8974, 4783532,4782765","27o 35' 06""","27o 36' 45""","86o 13' 24""","86o 14' 00""",(Dolakha),2071-11-01
51,Pikhuwa Khola,5,Pikhuwa,45,2067-12-07,2102-12-06,Eastern Hydropower P Ltd,"Kathmandu, Phone 01-4495459","27o 08' 50""","27o 10' 33""","87o 00' 41""","87o 02' 03""","Kota,Bokhim,Bhojpur (Bhojpur)",2076-02-27
52,Middle Chaku Khola,1.8,Chaku,44,2067-12-07,2102-12-06,Laughing Budha Power Nepal,"GPO Box: 4619 , Katmandu","27o 52' 20""","27o 52' 50""","85o 55' 45""","85o 56' 00""",(Sindhupalchok),2069-11-15
53,Radhi Small,4.4,Radhi,47,2068-01-28,2103-01-27,Radhi Bidyut Co. Ltd,"P.O.Box: 20290, Phone-014232750,4232749 , Fax: 014232748, Blue Star Complex, Room No. 523, Tripureshwor, Kathmandu","28o 23' 48""","28o 24' 30""","84o 24' 34""","84o 25' 45""",(Lamjung),2071-02-31
54,Dordi Khola,27,Dordi,48,2068-03-23,2103-03-22,Himalaya Power Partner Pvt. Ltd,"POB 8975 EPC 4205 Marajaganj,Kathmandu,nepal Phoneand Fax: 4375874","28o 10' 00""","28o 13' 32""","84o 26' 00""","84o 28' 30""","Archalbot,Chiti,Dhodeni,Nauthar,Shree Banjyang,Udipur (Lamjung)",2079-06-14
55,Mristi Khola,42,Mristi,53,2068-07-20,2103-07-19,Mountain Energy Nepal Limited,"IME Complex 3rd Floor, Panipokhari, Kathmandu","28o 30' 00""","28o 32' 17""","83o 39' 10""","83o 40' 42""",",Dana,Narchyang (Myagdi)",2078-03-03
56,Tadi Khola (thaprek),5,Tadi Khola,54,2068-08-06,2103-08-05,Aadi Shakti Bidhut Bikash Co. P. Ltd,"P.O. Box: 897, Ph: 01-4219731","27o 55' 00""","27o 55' 56""","85o 19' 15""","85o 21' 08""",(Nuwakot),2058-10-10
57,Sanjen,42.5,Sanjen,55,2068-08-12,2104-08-11,Sanjen Jalvidyut Co.,"P.O.Box 25210, Gyaneswor,Kathmandu, Phone 01-4443077, Fax 01- 4443076","28o 11' 00""","28o 13' 00""","85o 16' 30""","85o 18' 15""",Chilime (Rasuwa),2081-09-01
58,Upper Chaku A,22.2,Chaku,58,2068-11-12,2103-11-11,Shiva Sri Hydropower Pvt. Ltd,"P.O.Box 13860 Kathmandu, Phone 01-4466330,","27o 51' 31""","27o 52' 31""","85o 56' 00""","85o 58' 06""","Marbin,Fulpingkatti (Sindhupalchok)",2078-02-01
59,Likhu-4,52.4,Likhu Khola,59,2068-11-28,2098-11-27,Green Ventures Ltd,"P.O.Box 772, Triveni Complex Putalisadak kathmandu, Ph 5544736, 9863029595","27o 26' 39""","27o 28' 40""","86o 15' 00""","86o 20' 00""","Ragani,Pokli (Okhaldhunga) Saibu,Bijulikot,Naga Daha,Tilpung (Ramechhap)",2078-07-21
60,Upper Marsyangdi A,50,Marsyangdi,60,2068-12-17,2103-12-16,Sinohydro-Sagarmatha Power Company Pvt Ltd,"Sanepa , Lalitpur","28o 17' 07""","28o 19' 28""","84o 21' 55""","84o 24' 10""","Bhulbhule,Bahundada,Khudi (Lamjung)",2073-07-30
61,Thapa Khola,13.6,Thapa Khola,61,2069-01-26,2104-01-25,Mount Kailash Energy Co. Ltd,"Tupche -3, Nuwakot ,Tel: 9841832093","28o 42' 32""","28o 44' 30""","83o 36' 44""","83o 38' 52""",(Mustang),2074-08-22
62,Daraundi A,6,Daraudi,62,2069-02-16,2104-02-15,Daraundi Kalika Hydro,"Samakhusi, Kathmandu, Nepal. Ph: 4360076","28o 06' 29""","28o 08' 13""","84o 39' 43""","84o 41' 33""",(Gorkha),2073-08-12
63,Jhyadi Khola,2,Jhyari Khola,63,2069-02-30,2104-02-29,"Electrocom and Research Centre, 9851003846","Baneshwor, Kathamandu - 10, Ph. 9851003846,9751000944","27o 44' 30""","27o 46' 35""","85o 40' 15""","85o 41' 02""","Pipaldanda,Sanusiruwari,Kunchok,Bhotsipa (Sindhupalchok)",2073-04-01
64,Lower Khare,11,Khare,64,2069-03-19,2105-03-18,Universal Power Company P. Ltd,"Thapathali KTM, POB : 13961, Ph no: 014261827, 4252216","27o 45' 00""","27o 45' 43""","86o 11' 35""","86o 13' 52""","Bulung,Chankhu,Khare,Suriti (Dolakha)",2078-09-06
65,Nau Gad Khola,8.5,Naugad,65,2069-03-31,2104-03-30,Api Power Company Pvt. Ltd,"Dillibajar Kathmandu,Phone 4417136,4433252 Fax 4421114","29o 41' 15""","29o 43' 08""","80o 36' 15""","80o 36' 38""",(Darchula),2072-05-02
66,Upper Hugdi,5,Hugdi,67,2069-04-30,2104-04-29,Ruru Jalbidyut Pariyojana Pvt. Ltd,"P.O. Box 8416, Samakhusi, Kathmandu-29, Nepal, Phone: 01-4389703, 4357563 Fax :01-4357563","28o 05' 00""","28o 06' 12""","83o 23' 17""","83o 25' 17""",(Gulmi),2071-12-09
67,Midim Khola,3,Midim Khola,68,2069-05-06,2104-05-05,Union Hydropower P.Ltd,"P.O.B. No: 12637, Ph: 01-5543850","28o 10' 53""","28o 12' 00""","84o 16' 42""","84o 17' 30""",Karapu (Lamjung),2074-10-15
68,Upper Sanjen,14.8,Sanjen,69,2069-05-07,2105-05-06,Sanjen Jalvidhyut Co,"Das Tower Lazimpat, Kathmandu, 01-4002049, Fax 4443077","28o 13' 00""","28o 14' 25""","85o 16' 30""","85o 18' 15""",Chilime (Rasuwa),2080-06-21
69,Mai Cascade,7,Mai Khola,72,2069-07-15,2104-07-14,Sanima Mai Hydropower Limited,"Narananchaur, Naksal Kathmandu, P. O. Box 19737, Phone 01-4446442, Fax 01-4441277","26o 45' 43""","26o 47' 21""","87o 52' 02""","87o 53' 09""",(Ilam),2072-12-19
70,Hewa Khola A,14.9,Hewa (Panchthar),74,2069-08-21,2104-08-20,Panchthar Power Company Pvt. Ltd.,"Hativan 15, Lalitpur, Phone 01-5251003 fax 5251004","27o 10' 09""","27o 11' 33""","87o 47' 30""","87o 50' 58""","Bharapa,Nangeen,Yanganam (Panchthar)",2074-01-10
71,Rasuwagadhi,111,Bhotekoshi (Rasuwa),75,2069-08-21,2105-08-20,Rasuwagadhi Hydropower Company Ltd.,"Gyaneswor Kathmandu, P.O.Box 25210, Phone 014439163, 014439284","28o 14' 05""","28o 16' 39""","85o 21' 22""","85o 23' 03""","Thuman,Timure (Rasuwa)",2081-09-16
72,Upper Khimti,12,Khimti Khola,77,2069-09-03,2105-09-02,Himalaya Urja Bikas Co. Pvt. Ltd.,"Balkot-2 Bhaktapur, Phone 016632822","27o 39' 24""","27o 41' 54""","86o 19' 20""","86o 21' 40""",Chuchure (Ramechhap),2079-03-06
73,Namarjun Madi,12,Madi Khola,78,2069-09-11,2104-09-10,Himalayan Hydropower Pvt.Ltd,"P.O. Box No.: 20225, Lazimpat, Kathmandu, Phone: 01-4441216, Fax: 01-4441217","28o 17' 56""","28o 19' 00""","84o 05' 00""","84o 06' 08""","Namarjung,Sildujure (Kaski)",2077-06-13
74,Upper Mailun Khola,14.3,Mailung Khola,79,2069-09-20,2107-11-26,Upper Mailung Khola Hydropower Limited.,"Baluwatar, Kathmandu, Nepal. Ph: 4436027, Fax: 4419703","28o 05' 56""","28o 07' 13""","85o 11' 00""","85o 13' 00""",",Gatlang,Haku,Dandagoun (Rasuwa)",2080-10-28
75,Sabha Khola,3.3,Sabha Khola,81,2069-10-04,2104-10-03,Dibyaswari Hydropower P Ltd,"Purano Baneswor, Kathmandu, Phone 014461326,","27o 23' 19""","27o 24' 13""","87o 16' 23""","87o 17' 35""",Dhupu (Sankhuwasabha),2074-06-04
76,Dordi-1,12,Dordi,82,2069-10-12,2105-10-11,Dordi Khola Jalvidyut Company Limited,"Tripushwor, Kathmandu, P.O. Box: 20290, Ph:4232748, 4232749, Fax: 4232750","28o 13' 33""","28o 15' 11""","84o 26' 55""","84o 28' 45""","Chiti,Bansar,Dhodeni,Faleni (Lamjung)",2079-06-14
77,Nyadi Khola,30,Nyadi,83,2069-11-03,2105-11-02,Nyadi Hydropower Limited,"P.O.Box. 11728, Kathmandu, Phone 01-4781776, 4784026, Fax 01-4780994","28o 19' 20""","28o 21' 07""","84o 25' 25""","84o 28' 00""","Bahundada,Bhulbhule (Lamjung)",2079-01-27
78,Tungun - Thosne Khola,4.36,Tugun,84,2069-11-03,2104-11-02,Khani Khola Hydropower Company Ltd,"Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417219","27o 29' 15""","27o 29' 50""","85o 18' 20""","85o 19' 53""",(Lalitpur),2073-08-09
79,Khani Khola,2,Khani Khola (Lalitpur),85,2069-11-03,2104-11-02,Khani Khola Hydropower Company Ltd,"Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417220","27o 29' 10""","27o 29' 44""","85o 17' 02""","85o 18' 20""",(Lalitpur),2073-08-09
80,Lower Tadi,4.993,Tadi Khola,88,2069-12-27,2104-12-26,Buddha Bhumi Nepal Hydropower Co. Pvt. ltd.,"Kantipath Kathmandu, Phone 01-4248228, Fax 01-4244474","27o 55' 05""","27o 55' 40""","85o 21' 08""","85o 22' 50""","Balkumari,Samundratar,Sundaradevi,Thaprek (Nuwakot)",2078-12-10
81,Jogmai Khola,7.6,Jogmai Khola,86,2069-12-29,2104-12-28,Sanvi Energy Pvt. Ltd.,"G.P. O. Box 8975, EPC 1341 KTM , Pulchok Lalitpur, Phone 5532860","26o 54' 40""","26o 55' 24""","88o 01' 09""","88o 03' 20""",",Namsaling,Naya Bazar,Panchakanya,Phikal Bazar (Ilam)",2074-01-18
82,Daram Khola-A,2.5,Daram,89,2070-02-02,2105-02-01,Sayapatri Hydropower Pvt. Ltd.,"Gongabu-29 Kathmandu, Phone 01-4364009","28o 16' 45""","28o 17' 52""","83o 24' 30""","83o 25' 27""",(Baglung),2073-03-12
83,Upper Puwa-1,3,Puwa,90,2070-02-06,2105-02-05,Joshi Hydropower Co. P. Ltd,"Newbaneswor, KathmanduTel: 01-4115787","26o 59' 47""","27o 00' 50""","87o 52' 50""","87o 54' 10""",(Ilam),2071-10-01
84,Gelun Khola HPP,3.2,Gelun,91,2070-02-06,2105-02-05,Gelun Khola Hydropower Company Pvt Ltd,"Baneswar, Kathmandu Tel: 4492150","27o 49' 30""","27o 50' 40""","85o 46' 30""","85o 49' 15""","Baramchi,Hagam,Jalbire (Sindhupalchok)",2080-08-15
85,Middle Modi,18,Modi Khola,93,2070-03-07,2106-03-06,Middle Modi Hydropower Limited,"P.O.Box: 12268, Nepal. Ph:4038030, Fax:4038026","28o 17' 20""","28o 18' 29""","83o 45' 00""","83o 47' 08""",",Deupurkot,Tilahar (Parbat)",2079-09-08
86,Sardi Khola,4,Sardi,94,2070-03-13,2105-03-12,Mandakini Hydropower Ltd.,"Baneswor Kathmandu, P.O.Box 7327, Phone 01-4461574","28o 20' 00""","28o 21' 07""","83o 58' 30""","84o 00' 35""",(Kaski),2074-08-23
87,Upper Mai -C,6.1,Mai Khola,95,2070-03-21,2105-03-20,"Mai Valley Hydropower P.L.,","P.O.Box 24194, Phone 01-5010631, Lalitpur Kathmandu","27o 00' 00""","27o 01' 21""","87o 57' 37""","87o 58' 09""",",Mabu,Sulubung (Ilam)",2074-04-09
88,Kabeli B - 1,25,Kabeli Khola,98,2070-03-28,2105-03-27,Arun Kabeli Power Limited.,"Baneshwor, Ktm, P.O. Box: 11039, Ph: 01-4109801, 4475234, Fax: 4474895","27o 16' 23""","27o 17' 00""","87o 47' 00""","87o 50' 10""","Nagi,Tharpu (Panchthar)",2076-07-23
89,Lower Hewa,22.1,Hewa (Panchthar),99,2070-04-09,2105-04-08,Mountain Hydro Nepal (P.) Ltd,"P.O. Box: 3970, New Baneshwor, Kathmandu, Nepal. Ph: 015525184, 4299844, Fax 01-5525184","27o 08' 42""","27o 10' 40""","87o 43' 20""","87o 47' 12""","Bharapa,Nangeen,Phidim (Panchthar)",2076-04-21
90,Mai Cascade HPP,8,Mai Khola,101,2070-04-15,2105-04-14,Himal Dolkha Hydropower Company Pvt Ltd,"Baneswar, Kathmandu Tel: 9851085922,2043191","26o 50' 50""","26o 52' 36""","87o 54' 43""","87o 56' 11""","Goduk,Chisapani,Ilam N.P.,Soyak (Ilam)",2074-12-26
91,Chhandi Khola,2,Chhandi,103,2070-05-24,2105-05-23,Chhyandi Hydropower Co. P. Ltd,"Ph: 014424925, 9851095497, 014426483","28o 15' 12""","28o 16' 04""","84o 28' 08""","84o 29' 20""",(Lamjung),2072-12-13
92,Puwa Khola-1,4,Puwa,106,2070-06-21,2105-06-20,Puwa Khola - 1 Hydropower Pvt. Ltd,"PO Bpx 20762 Baluwatar Nepal. Ph: 4410057, 9851129708","26o 55' 02""","26o 56' 58""","87o 53' 46""","87o 55' 00""","Shantidanda,Barbote,Ilam N.P. (Ilam)",2074-06-23
93,Madhya Bhotekoshi,102,Bhotekoshi (Sindhupalchowk),108,2070-08-18,2106-08-17,Madhya Bhotekoshi Jalbidyut Company Ltd.,"Maharajganj Kathmandu, P.O.Box. 23599, Phone 01-4721641, 4721642, Fax 01-4721643","27o 49' 08""","27o 53' 00""","85o 51' 49""","85o 54' 43""","Maneswor,Marbin,Listi (Sindhupalchok)",2082-06-20
94,Rudi A,8.8,Rudi Khola,109,2070-09-12,2105-09-11,Bindhabasini Hydropower Developmwnt Company Pvt.Ltd,"P.O.Box.10242, Newbaneswor, Kathmandu, phone 4781891, Fax 4785671","28o 13' 51""","28o 16' 39""","84o 11' 00""","84o 13' 00""","Mijuredada (Kaski) Bhoje,Pasagaun (Lamjung)",2075-12-05
95,Ghalemdi Khola,5,Ghalemdi,110,2070-09-14,2105-09-13,Ghalemdi Hydro Limited,"P.O.Box 9560, Banasthatli, Kathmandu; Tel. 014362520; 69521079; ghalemdi@gmail.com","28o 31' 30""","28o 32' 30""","83o 40' 30""","83o 42' 00""",Narchyang (Myagdi),2076-11-05
96,Kapadigad,3.33,Kapadigad,111,2070-09-14,2105-09-13,Salmanidevi Hydropower Pvt Ltd,"Dhunga Adda, Tinthana-7,KTM, 014316325","29o 00' 00""","29o 01' 15""","80o 45' 00""","80o 47' 05""",",Barchhen (Doti)",2076-02-25
97,Down Piluwa,10.3,Piluwa Khola,113,2070-11-04,2105-11-03,River Falls Hydropower Development P. Ltd.,"P.O.Box, 14165, Anamnagar, Kathmandu, Phone 01-4238159, Fax 01-4102651","27o 14' 30""","27o 15' 00""","87o 16' 00""","87o 18' 10""","Baneswor,Ankhibhui,Mamling (Sankhuwasabha)",2080-04-25
98,Madkyu Khola,13,Madkyu,116,2070-11-21,2105-11-20,Silkes Hydropower Pvt.Ltd,"P.O.Box. 170, Lekhnath Nagar Palika - 3, Kaski, Phone 061-560236, Fax 061-532466","28o 21' 40""","28o 22' 30""","84o 07' 31""","84o 08' 45""",(Kaski),2074-12-19
99,Chake Khola,2.83,Chake Khola,114,2070-11-21,2105-11-20,Garjang Upatyaka HP Company Limited,"Khusibu, Ward No. 17, KTM","27o 37' 15""","27o 38' 19""","86o 18' 45""","86o 21' 42""",Chuchure (Ramechhap),2074-08-28
