SN,Name ,Symbol ,Status ,Sector ,Instrument ,Email,Website
55,Mandakini Hydropower Limited,MHL,Active,Hydro Power,Equity,mandakini.hydropower@gmail.com,www.mandakinihydro.com.np
56,Upper Solu Hydro Electric Company Limited,USHEC,Active,Hydro Power,Equity,ushec@info.com.np,www.ushec.com.np
57,Rapti Hydro And General Construction Limited,RHGCL,Active,Hydro Power,Equity,info@raptihydro.com.np,www.raptihydro.com.np
58,Sayapatri Hydropower Limited,SPHL,Active,Hydro Power,Equity,info@sayapatrihydropower.com,www.sayapatrihydropower.com
59,People's Power Limited,PPL,Active,Hydro Power,Equity,peoplespowerltd@gmail.com,www.peoplespower.com.np
60,Sikles Hydropower Limited,SIKLES,Active,Hydro Power,Equity,sikleshydro13mw@gmail.com,www.sikleshydro.com.np
61,Eastern Hydropower Limited,EHPL,Active,Hydro Power,Equity,pikhuwakhola5@gmail.com,www.ehpl.com.np
62,Peoples Hydropower Company Limited,PHCL,Active,Hydro Power,Equity,peoples.hydro5@gmail.com,https://peopleshydro.com.np/
63,Barahi Hydropower Public Limited,BHPL,Active,Hydro Power,Equity,bhpl.acc@gmail.com,www.barahihydropower.com.np
64,Super Madi Hydropower Limited,SMHL,Active,Hydro Power,Equity,supermadihydro@gmail.com,www.supermadihydro.com.np
65,Shuvam Power Limited,SPL,Active,Hydro Power,Equity,shuvampower@gmail.com,www.shuvamhydro.com.np
66,Super Mai Hydropower Limited,SMH,Active,Hydro Power,Equity,supermaihydropower@gmail.com,www.supermaihydro.com.np
67,Maya Khola Hydropower Company Limited,MKHC,Active,Hydro Power,Equity,dpshresths@gmail.com,www.mkhpcl.com.np
68,Asian Hydropower Limited,AHL,Active,Hydro Power,Equity,info@asianhydro.com.np,https://asianhydro.com.np/
69,Sanima Middle Tamor Hydropower Limited,TAMOR,Active,Hydro Power,Equity,middletamor@sanimahydro.com,https://middletamor.com/
70,Molung Hydropower Company Limited,MHCL,Active,Hydro Power,Equity,molung.office@gmail.com,www.molunghydropwer.com.np
71,Sagarmatha Jalabidhyut Company Limited,SMJC,Active,Hydro Power,Equity,sagarmathahydropower@gmail.com,https://sagarmathajbc.com.np
72,Makar Jitumaya Suri Hydropower Limited,MAKAR,Active,Hydro Power,Equity,mjs.hydropower2065@gmail.com,www.mjshydropower.com.np
73,Mai Khola Hydropower Limited,MKHL,Active,Hydro Power,Equity,maikholahydro@gmail.com,https://maikholahydropower.com.np
74,Dolti Power Company Limited,DOLTI,Active,Hydro Power,Equity,info@doltipower.com.np,www.doltipower.org.np
75,Bhugol Energy Development Company Limited,BEDC,Active,Hydro Power,Equity,energy.bhugol@gmail.com,www.bedc.com.np
76,Menchhiyam Hydropower Limited,MCHL,Active,Hydro Power,Equity,menchhiyam@gmail.com,www.menchhiyamhydropower.com
77,Ingwa Hydropower Limited,IHL,Active,Hydro Power,Equity,hydropoweringwa@gmail.com,www.ingwahydropowerltd.com.np
78,Modi Energy Limited,MEL,Active,Hydro Power,Equity,info@modihydro.com,www.modihydro.com
79,Rawa Energy Development Limited,RAWA,Active,Hydro Power,Equity,rawa.hydro@gmail.com,www.rawaenergy.com.np
80,Upper Syange Hydropower Limited,USHL,Active,Hydro Power,Equity,upper.syange@gmail.com,www.uppersyange.com
81,Three Star Hydropower Limited,TSHL,Active,Hydro Power,Equity,sapsu2016@gmail.com,threestarhydro.com
82,Kutheli Bukhari Small Hydropower Limited,KBSH,Active,Hydro Power,Equity,kuthelihydro@gmail.com,kuthelihydropower.com.np
83,Manakamana Engineering Hydropower Limited,MEHL,Active,Hydro Power,Equity,hydromanakamana@gmail.com,www.hydromanakamana.com.np
84,Upper Lohore Khola Hydropower Company Limited,ULHC,Active,Hydro Power,Equity,upperlohore.hydro@gmail.com,www.ulkhp.com
85,Mandu Hydropower Limited,MANDU,Active,Hydro Power,Equity,info@manduhydropower.com,www.manduhydropower.com
86,Bhagawati Hydropower Development Company Limited,BGWT,Active,Hydro Power,Equity,bhdcpokhara1@gmail.com,www.bhagawatihydro.com.np
87,Mid Solu Hydropower Limited,MSHL,Active,Hydro Power,Equity,midsolu.hydropower@gmail.com,https://midsoluhydropower.com.np/
88,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,Active,Hydro Power,Equity,mailung@sanimahydro.com,sanimamailung.com
89,Trishuli Jal Vidhyut Company Limited,TVCL,Active,Hydro Power,Equity,tjvclshare2080@gmail.com,
90,Vision Lumbini Urja Company Limited,VLUCL,Active,Hydro Power,Equity,urja@visionlumbini.com.np,www.visionlumbiniurja.com
91,Chirkhwa Hydropower Limited,CKHL,Active,Hydro Power,Equity,chirkhwa@gmail.com,www.chirkhwahpl.com
92,Sanvi Energy Limited,SANVI,Active,Hydro Power,Equity,energysanvi513@gmail.com,www.sanvienergy.com
93,Bikash Hydropower Company Limited,BHCL,Active,Hydro Power,Equity,uppermachhakhola@gmail.com,www.bikashhydro.com.np
94,Him Star Urja Company Limited,HIMSTAR,Active,Hydro Power,Equity,urjahimstar@gmail.com,www.urjahimsta.com.np
95,Mabilung Energy Limited,MABEL,Active,Hydro Power,Equity,mabilung@gmail.com,www.mabilung.com
96,Daramkhola Hydro Energy Limited,DHEL,Active,Hydro Power,Equity,daramkholahydroenergy@gmail.com,https://daramkholahydro.com
97,Bungal Hydro Limited,BUNGAL,Active,Hydro Power,Equity,info.kghep@gmail.com,bungalhydro.com.np
98,Solu Hydropower Limited,SOHL,Active,Hydro Power,Equity,info@soluhydro.com,www.soluhydro.com
99,Bhujung Hydropower Limited,BJHL,Active,Hydro Power,Equity,bhujung.hydro@gmail.com,
100,Super Khudi Hydropower Limited,SKHL,Active,Hydro Power,Equity,info@superkhudi.com.np,www.superkhudi.com.np
101,Ridge Line Energy Limited,RLEL,Active,Hydro Power,Equity,info@ridgeline.com.np,www.ridgeline.com.np
102,Suryakunda Hydro Electric Limited,SKHEL,Active,Hydro Power,Equity,info@suryakundahydro.com.np,www.suryakundahydro.com.np
103,Shikhar power Development Limited,SIPD,Active,Hydro Power,Equity,shikhar.power71@gmail.com,shikharpower.com.np
104,Kalinchock Hydropower Limited,KHPL,Active,Hydro Power,Equity,kalinchwokhydro@gmail.com,http://khpl.com.np
105,Appolo Hydropower Limited,APHL,Active,Hydro Power,Equity,buku.khola@gmail.com,www.appolohydro.com
106,Yambaling Hydropower Limited,YMHL,Active,Hydro Power,Equity,yambaling@gmail.com,https://yambalinghydropower.com.np
107,Taksar Pikhuwa Khola Hydropower Limited,TPKHL,Active,Hydro Power,Equity,taksarpikhuwahpp2017@gmail.com,tpkhp.com.np
